Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	Warlock	ExpRatio
36	14757693	14757693	14757693	14757693	14757693	14757693	14757693	14757693	1024
37	16578002	16578002	16578002	16578002	16578002	16578002	16578002	16578002	1024
38	18562140	18562140	18562140	18562140	18562140	18562140	18562140	18562140	1024
39	20724848	20724848	20724848	20724848	20724848	20724848	20724848	20724848	1024
40	23082201	23082201	23082201	23082201	23082201	23082201	23082201	23082201	1024
41	25651717	25651717	25651717	25651717	25651717	25651717	25651717	25651717	1024
42	28452488	28452488	28452488	28452488	28452488	28452488	28452488	28452488	1024
43	31505329	31505329	31505329	31505329	31505329	31505329	31505329	31505329	1024
44	34832925	34832925	34832925	34832925	34832925	34832925	34832925	34832925	1024
45	38460004	38460004	38460004	38460004	38460004	38460004	38460004	38460004	1024
46	42413522	42413522	42413522	42413522	42413522	42413522	42413522	42413522	1024
47	46722856	46722856	46722856	46722856	46722856	46722856	46722856	46722856	1024
48	51420029	51420029	51420029	51420029	51420029	51420029	51420029	51420029	1024
49	56539949	56539949	56539949	56539949	56539949	56539949	56539949	56539949	1024
50	62120661	62120661	62120661	62120661	62120661	62120661	62120661	62120661	1024
51	68203637	68203637	68203637	68203637	68203637	68203637	68203637	68203637	1024
52	74834081	74834081	74834081	74834081	74834081	74834081	74834081	74834081	1024
53	82061266	82061266	82061266	82061266	82061266	82061266	82061266	82061266	1024
54	89938896	89938896	89938896	89938896	89938896	89938896	89938896	89938896	1024
55	98525514	98525514	98525514	98525514	98525514	98525514	98525514	98525514	1024
56	107884927	107884927	107884927	107884927	107884927	107884927	107884927	107884927	1024
57	118086687	118086687	118086687	118086687	118086687	118086687	118086687	118086687	1024
58	129206605	129206605	129206605	129206605	129206605	129206605	129206605	129206605	1024
59	141327317	141327317	141327317	141327317	141327317	141327317	141327317	141327317	1024
60	154538892	154538892	154538892	154538892	154538892	154538892	154538892	154538892	1024
61	168939510	168939510	168939510	168939510	168939510	168939510	168939510	168939510	1024
62	184636182	184636182	184636182	184636182	184636182	184636182	184636182	184636182	1024
63	201745555	201745555	201745555	201745555	201745555	201745555	201745555	201745555	1024
64	220394773	220394773	220394773	220394773	220394773	220394773	220394773	220394773	1024
65	240722419	240722419	240722419	240722419	240722419	240722419	240722419	240722419	1024
66	262879554	262879554	262879554	262879554	262879554	262879554	262879554	262879554	1024
67	287030831	287030831	287030831	287030831	287030831	287030831	287030831	287030831	1024
68	313355722	313355722	313355722	313355722	313355722	313355722	313355722	313355722	1024
69	342049854	342049854	342049854	342049854	342049854	342049854	342049854	342049854	1024
70	373326457	373326457	373326457	373326457	373326457	373326457	373326457	373326457	913
71	405358459	405358459	405358459	405358459	405358459	405358459	405358459	405358459	813
72	438122505	438122505	438122505	438122505	438122505	438122505	438122505	438122505	725
73	471683797	471683797	471683797	471683797	471683797	471683797	471683797	471683797	646
74	506033807	506033807	506033807	506033807	506033807	506033807	506033807	506033807	576
75	541214995	541214995	541214995	541214995	541214995	541214995	541214995	541214995	513
76	577206423	577206423	577206423	577206423	577206423	577206423	577206423	577206423	457
77	614035564	614035564	614035564	614035564	614035564	614035564	614035564	614035564	408
78	651804020	651804020	651804020	651804020	651804020	651804020	651804020	651804020	363
79	690402426	690402426	690402426	690402426	690402426	690402426	690402426	690402426	324
80	729975651	729975651	729975651	729975651	729975651	729975651	729975651	729975651	289
81	770521645	770521645	770521645	770521645	770521645	770521645	770521645	770521645	257
82	811938481	811938481	811938481	811938481	811938481	811938481	811938481	811938481	229
83	854329412	854329412	854329412	854329412	854329412	854329412	854329412	854329412	204
84	897706592	897706592	897706592	897706592	897706592	897706592	897706592	897706592	182
85	942159095	942159095	942159095	942159095	942159095	942159095	942159095	942159095	162
86	987609057	987609057	987609057	987609057	987609057	987609057	987609057	987609057	145
87	1034337380	1034337380	1034337380	1034337380	1034337380	1034337380	1034337380	1034337380	129
88	1082363356	1082363356	1082363356	1082363356	1082363356	1082363356	1082363356	1082363356	115
89	1132105575	1132105575	1132105575	1132105575	1132105575	1132105575	1132105575	1132105575	102
90	1183654653	1183654653	1183654653	1183654653	1183654653	1183654653	1183654653	1183654653	91
91	1237692042	1237692042	1237692042	1237692042	1237692042	1237692042	1237692042	1237692042	81
92	1294524367	1294524367	1294524367	1294524367	1294524367	1294524367	1294524367	1294524367	73
93	1355380233	1355380233	1355380233	1355380233	1355380233	1355380233	1355380233	1355380233	65
94	1420118421	1420118421	1420118421	1420118421	1420118421	1420118421	1420118421	1420118421	58
95	1489513394	1489513394	1489513394	1489513394	1489513394	1489513394	1489513394	1489513394	51
96	1563218105	1563218105	1563218105	1563218105	1563218105	1563218105	1563218105	1563218105	46
97	1643954116	1643954116	1643954116	1643954116	1643954116	1643954116	1643954116	1643954116	41
98	1731820808	1731820808	1731820808	1731820808	1731820808	1731820808	1731820808	1731820808	36
99	1826533429	1826533429	1826533429	1826533429	1826533429	1826533429	1826533429	1826533429	32
100	1930439699	1930439699	1930439699	1930439699	1930439699	1930439699	1930439699	1930439699	29
101	2047278032	2047278032	2047278032	2047278032	2047278032	2047278032	2047278032	2047278032	26
102	2177941209	2177941209	2177941209	2177941209	2177941209	2177941209	2177941209	2177941209	23
103	2322880145	2322880145	2322880145	2322880145	2322880145	2322880145	2322880145	2322880145	20
104	2481748533	2481748533	2481748533	2481748533	2481748533	2481748533	2481748533	2481748533	18
105	2662920633	2662920633	2662920633	2662920633	2662920633	2662920633	2662920633	2662920633	16
106	2868036600	2868036600	2868036600	2868036600	2868036600	2868036600	2868036600	2868036600	14
107	3097813282	3097813282	3097813282	3097813282	3097813282	3097813282	3097813282	3097813282	13
108	3372378798	3372378798	3372378798	3372378798	3372378798	3372378798	3372378798	3372378798	11
109	3672872228	3672872228	3672872228	3672872228	3672872228	3672872228	3672872228	3672872228	10
110	4028000827	4028000827	4028000827	4028000827	4028000827	4028000827	4028000827	4028000827	0
