state	*ID	group	remhit	nosend	transform	aura	curable	curse	active	restrict	disguise	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	hidedead	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	canstack	sunderfull	sunder-res-reduce	vfxweaponstate	*eol
progressive_damage	122																																				1										progressive_damage_1			progressive_damage	1	1																						0
progressive_steal	123																																				1										progressive_steal_1			progressive_steal	1	1																						0
progressive_other	124																																				1										progressive_other_1			progressive_other	1	1																						0
progressive_fire	125																																				1										progressive_fire_1			progressive_fire	1	1																						0
progressive_cold	126																																				1										progressive_cold_1			progressive_cold	1	1																						0
progressive_lightning	127																																				1										progressive_lightning_1			progressive_lightning	1	1																						0
shrine_armor	128													1																													shrine_armor	shrine_shimmer00						armorclass																								0
shrine_combat	129											1	1																														shrine_combat	shrine_shimmer00						tohit																								0
shrine_resist_lightning	130															1																											shrine_resist_lightning	shrine_shimmer01						lightresist																								0
shrine_resist_fire	131														1																												shrine_resist_fire	shrine_shimmer00						fireresist																								0
shrine_resist_cold	132																1																										shrine_resist_cold	shrine_shimmer01						coldresist																								0
shrine_resist_poison	133																		1																								shrine_resist_poison	shrine_shimmer01						poisonresist																								0
shrine_skill	134																																										shrine_skill	shrine_shimmer00							9	6																						0
shrine_mana_regen	135																																										shrine_mana_regen	shrine_shimmer01																														0
shrine_stamina	136																	1																									shrine_stamina	shrine_shimmer01						stamina																								0
shrine_experience	137																																										shrine_experience	shrine_shimmer00																														0
generalglovesstate	138																																																																									0
wolf	139	3			1					1	1	1																													1										14											druid_morph	druid_morph	1	430									0
bear	140	3			1					1	1		1	1																											1										14											druid_morph	druid_morph	1	431									0
bloodlust	141							1																																			bloodlust_state	bloodlust_state																														0
changeclass	142																																																		5																							0
attached	143								1																				1	1				1																	13	9																88	147					0
hurricane	144								1																																										7	4																90	145					0
armageddon	145																																																																				146					0
invis	146																																																		12	8																						0
firepierceaura	147					1																																					aura_resistfire					cast_resistfire		fireresist												paladin_aura_resistfire												0
wolverine	148					1						1	1																															heart_of_wolverine						item_tohit_percent																								0
lightdamageaura	149					1																																					aura_resistlight					cast_resistlight		lightresist												paladin_aura_resistlightning												0
firedamageaura	150					1																																					aura_resistfire					cast_resistfire		fireresist												paladin_aura_resistfire												0
cyclonearmor	151																																					1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																						0
clawmastery	152																																																																									0
cloak_of_shadows	153													1																																					2											assassin_cloakofdarkness												0
generalbootsstate	154																																																																				146					0
weaponblock	155																																																																									0
cloaked	156																					1																					cloaked							skill_armor_percent																								0
quickness	157	2				1																																					quickness							attackrate																								0
redtertiary	158																																																								70	100	255	255	255													0
fade	159	2													1	1	1		1																								fade							poisonresist																								0
summonresist	160																																																																									0
sway	161																																																																									0
generalbeltstate	162																																																																				146					0
ledgeraura	163					1																																																																				0
debugcontrol	164																																																																									0
itemset1	165																																																																									0
itemset2	166																																																																									0
itemset3	167																																																																									0
itemset4	168																																																																									0
itemset5	169																																																																									0
itemset6	170			1																																																																						0
runeword	171			1																																																																						0
restinpeace	172																												1	1				1								1									17		redemption									paladin_redeemed_soul												0
corpseexp	173																												1	1	1			1								1									18		corpseexplosion									necromancer_corpseexp_1												0
whirlwind	174																																										whirlwind																															0
fullsetgeneric	175																																										aura_fanatic																															0
righteousfire	176					1																																					aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire												0
delerium	177																																																																									0
antidote	178																		1																																																							0
thawing	179																1																																																									0
staminapot	180																	1																																																								0
convicted	181					1																1	1	1	1																		convictionfront	convictionback						skill_conviction																								0
blue	182																																																								100	108	150	215	255													0
moltenfocus	183																																																																									0
uberminion	184																												1		1		1	1																												impact_bluemotize_1												0
cooldown	185																																																																									0
sharedstash	186																																																																									0
hidedead	187																											1	1			1																																										0
paralyze	188																																																								100	105	255	255	255													0
desecrated	189																												1	1																																												0
eagleeye	190	2																																									quickness							attackrate																								0
glacialfocus	191																																																																									0
sigillethargy	192																																															curse_hit									90	103				Warlock_Skill_Seal_Lethargy_Hit												0
sigilrancor	193	8																																														curse_hit									90	106				Warlock_Skill_Seal_Rancor_Hit												0
sigildeath	194																																															curse_hit									90	107				Warlock_Skill_Seal_Death_Hit												0
bloodoath	195			1																																																																						0
demonic_mastery	196			1																																																																						0
levitate_mastery	197																																																																									0
hexbane	198	6																																														hex_enchant							mele																		1	0
hexbanedebuff	199	7				1	1																																				hexbanedebuff					curse_hit														Warlock_Skill_Hex_Bane_Hit											1	0
hexsiphon	200	6										1																																				hex_enchant							mele																		2	0
hexsiphondebuff	201	7				1	1																																				hexsyphondebuff					curse_hit														Warlock_Skill_Hex_Siphon_Hit											2	0
hexpurge	202	6										1																																				hex_enchant							mele																		4	0
mindbarrier	203	1																																									bladeshield																															0
shadow_mastery	204			1																																																																						0
sigil	205			1																																																																						0
psychicward	206	1																																									psychicward																															0
bind_demon	207																												1	1				1									warlockdemonground	warlockdemontorso							19						70	130																0
consume	208	9																																									warlockconsume																															0
advancedstash	209																																																																									0
healthlink	210																																										healthlink																															0
engorge	211																																										engorgestate																															0
death_mark	212																																										death_mark																			Warlock_Skill_Death_Mark_01												0
healthlinkcaster	213			1																																																																						0
warlockdemonground	214					1																																					warlockdemonground														70	130																0
warlockdemontorso	215					1																																					warlockdemontorso														70	130																0
skill_channeling	216			1																																																																						0
hexpurgedebuff	217	7				1	1																																				hexpurgedebuff					curse_hit														Warlock_Skill_Hex_Purge_Hit											4	0
chroniclebacklight	218																											1															chronicle_backlight																															0
chroniclefootprints	219																											1																																														0
chronicleportal	220																											1																						customization_index																								0
eldritchblastperiodic	221								1																																		eldritchblastperiodic																									107						0
lightningenchant	222											1									1																											lightningenchant		skill_enchant					weap	cred																		0
coldenchant	223											1									1																											coldenchant		skill_enchant					weap	cred																		0
talicfirepierce	224					1																	1																				talicfirepierce																															0
madawclightpierce	225					1																		1																			madawclightpierce																															0
korliccoldpierce	226					1																			1																		korliccoldpierce																															0
bind_demon_underling	227																												1	1				1																	19						70	130																0
herald	228																																										herald																															0
apocalypse	229																																																																									0
missilelimit	230																																																																									0
primeevil_threat	231																																																																									0
justkilledbossthree	232																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
celestialempowerment	233																																																								100	101	255	255	255	paladin_aura_salvation												0
exclusiveskill	234	10																																			1										exclusiveskill_1			exclusiveskill	1	1																						0
coldenchantold	235											1	1																																			frozenarmor		skill_cold_enchant					weap	cblu																		0
oddcharmaura	236					1																																																																				0
athuluawisdom	237																																																																									0
placeholder238	238																																																								90	113	255	255	255													0
windmastery	239																																																																									0
generalmythicalarmorstate	240																																																																									0
damagebonusnew	241					1																																																																				0
headhunterphysicaldamage	242																																										undeadfrenzy																			barbarian_shout_1												0
headhunterstats	243																																										callofthewild							skill_armor_percent												paladin_aura_sanctuary												0
headhunterelementaldamage	244																																										exclusiveskill_1																			paladin_aura_purification												0
headhunterresistances	245																																										aura_resistall_front	aura_resistall_back				cast_resistall		lightresist												paladin_aura_salvation												0
headhunterspeed	246																																										staminafront	staminaback						maxstamina												paladin_aura_stamina												0
headhunterskills	247																																										aura_of_divinity																			paladin_aura_meditation												0
headhunterhealth	248																																										battleorders																			barbarian_battleorders_1												0
white	249																																																								90	111	255	255	255													0
firecontrolprogressive	250	11																																			1										firecontrolprogressive_1			firecontrolprogressive	1	1																						0
empoweredenchant	251																																										thunderstormfront					enchant		skill_enchant																								0
eternalhourglass	252																																										baal_on_throne																			paladin_redeemed_soul												0
bonemastery	253																																																																									0
magicmastery	254																																																																									0
aerialshield	255													1																													frenzy							toblock																								0
staticfocus	256																																																																									0
divineaura	257																																										aura_of_divinity																			paladin_aura_sanctuary												0
elemcry	258																																										aura_elemcry							coldresist												barbarian_battlecry_state												0
finditem	259																																																	item_magicbonus																								0
strengthancients	260																																																																									0
ascendancy	261					1																																					valkyrie																															0
shadearmor	262	2												1																																					item_armor_percent																							0
hypothermia	263					1																																					lich_king_essence_front																			paladin_aura_holywind												0
commandmastery	264																																																																									0
superteleport	265																																										aura_elemcry							coldresist												barbarian_battlecry_state												0
howl	266																																										taunt																			barbarian_battlecry_state												0
orangenosound	267																																																								100	101	255	255	255													0
redsecondary	268																																																								70	100	255	255	255													0
scurry	269																																										receiving																															0
bonusdefensestate	270																																																																									0
stancedance	271																																				1										stancedance_1			stancedance	1	1																						0
hiddenstate2	272																																																																									0
skilldamagestate	273																																																																									0
zeal	274																																										succubae_death					succubae_death									99	109	255	255	255	paladin_handofgod_cast												0
callofthewild	275					1								1																													callofthewild							skill_armor_percent																								0
lifetapgolem	276						1																																				cursereversevampire					curse_hit														necromancer_reversevampire												0
undeadfrenzy	277					1																																					undeadfrenzy																															0
orange	278																																																								100	101	255	255	255	paladin_aura_salvation												0
hiddenstate	279																																																																									0
korliclight	280																																										korliclight																			paladin_aura_salvation												0
elementalform	281	3			1					1	1																																								14											druid_morph	druid_morph	1	911									0
penaltydefensestate	282																																																																									0
progressive_physical	283																																				1										progressive_physical_1			progressive_physical	1	1																						0
progressive_execute	284																																				1										progressive_execute_1			progressive_execute	1	1																						0
gold	285																												1	1																											85	103	255	255	255													0
cyclicstate	286																																				1										cyclicstate_1			cyclicstate	1	1																						0
annihilationdebuff	287																																										aura_elemcry																															0
ravagedebuff	288																																																								100	106	255	255	255													0
furyofcreationdebuff	289																																										aura_elemcry																															0
bladenova	290																																										bladeshield																															0
lifepact	291	12																																									lifepact																															0
justkilledboss	292																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
valkyriemastery	293																																																																									0
justkilledbosstwo	294																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
abyss	295																																																								102	114	255	255	255													0
blackmagic	296					1																																					blackmagic																			paladin_aura_purification												0
hexsiphondebuffeffect	297																																																								102	114	255	255	255													0
placeholder298	298																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder299	299																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder300	300																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder301	301																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder302	302																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder303	303																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder304	304																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder305	305																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder306	306																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder307	307																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder308	308																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder309	309																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder310	310																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder311	311																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder312	312																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder313	313																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder314	314																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder315	315																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder316	316																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder317	317																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder318	318																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder319	319																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder320	320																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder321	321																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder322	322																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder323	323																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder324	324																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder325	325																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder326	326																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder327	327																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder328	328																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder329	329																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder330	330																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder331	331																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder332	332																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder333	333																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder334	334																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder335	335																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder336	336																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder337	337																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder338	338																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder339	339																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder340	340																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder341	341																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder342	342																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder343	343																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder344	344																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder345	345																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder346	346																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder347	347																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder348	348																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder349	349																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder350	350																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder351	351																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder352	352																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder353	353																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder354	354																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder355	355																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder356	356																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder357	357																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder358	358																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder359	359																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder360	360																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder361	361																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder362	362																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder363	363																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder364	364																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder365	365																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder366	366																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder367	367																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder368	368																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder369	369																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder370	370																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder371	371																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder372	372																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder373	373																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder374	374																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder375	375																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder376	376																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder377	377																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder378	378																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder379	379																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder380	380																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder381	381																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder382	382																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder383	383																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder384	384																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder385	385																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder386	386																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder387	387																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder388	388																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder389	389																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder390	390																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder391	391																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder392	392																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder393	393																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder394	394																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder395	395																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder396	396																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder397	397																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder398	398																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder399	399																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder400	400																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder401	401																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder402	402																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder403	403																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder404	404																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder405	405																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder406	406																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder407	407																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder408	408																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder409	409																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder410	410																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder411	411																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder412	412																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder413	413																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder414	414																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder415	415																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder416	416																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder417	417																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
placeholder418	418																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul												0
