code	*Id	PickMode	Prop1	ParMin1	ParMax1	ModMin1	ModMax1	Chance1	Prop2	ParMin2	ParMax2	ModMin2	ModMax2	Chance2	Prop3	ParMin3	ParMax3	ModMin3	ModMax3	Chance3	Prop4	ParMin4	ParMax4	ModMin4	ModMax4	Chance4	Prop5	ParMin5	ParMax5	ModMin5	ModMax5	Chance5	Prop6	ParMin6	ParMax6	ModMin6	ModMax6	Chance6	Prop7	ParMin7	ParMax7	ModMin7	ModMax7	Chance7	Prop8	ParMin8	ParMax8	ModMin8	ModMax8	Chance8	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
Mystical-Affix3	19	2	hp			100	150	1	mana			50	100	1																																										0
ars-tor-baalos-group	20	2	aura	526	533	10	20	1	aura	537	537	10	20	1	aura	540	540	10	20	1	aura	543	545	10	20	1	aura	548	550	10	20	1	aura	554	557	10	20	1																		0
skill-pierce-all-classes	21	0	oskill	450	450	3	3		skill	450	450	17	17																																											0
stance-dancer-tier-3	22	0	stance-dance-control				1	1	mythicaldesc	1413	1413	1	1		mythicaldesc	1414	1414	1	1																																					0
battlemage-tier-4	23	0	life-on-striking			10	10		manasteal			15	15	aura-hidden	1508	1508	1	1																																						0
awakened-tier-4	24	0	oskill	480	480	3	3		skill	480	480	17	17		res-pois-len			75	75	aura-hidden	1509	1509	1	1																																0
blademaster-tier-4	25	0	dmg-norm			40	50					40	50		aura-hidden	1510	1510	1	1																																					0
nomad-tier-4	26	0	hp			300	300					300	300		aura-hidden	1511	1511	1	1																																					0
ironbolt-tier-4	27	0	extra-crossbow-bolts			1	1		att			500	500		aura-hidden	1512	1512	1	1																																					0
arcanist-tier-4	28	0	oskill	487	487	3	3		skill	487	487	17	17		res-all-max			5	5	aura-hidden	1513	1513	1	1																																0
soul-warden-tier-4	29	0	nofreeze			1	1		max-magic-pois-res			1	1		abs-mag%			10	10	aura-hidden	1514	1514	1	1																																0
sharpshooter-tier-4	30	0	move2			75	75		oskill	431	431	3	3		skill	431	431	17	17	aura-hidden	1515	1515	1	1																																0
starborn-tier-4	31	0	oskill	482	482	3	3		skill	482	482	17	17		all-speeds			25	25	aura-hidden	1516	1516	1	1																																0
bloodmage-tier-4	32	0	red-dmg%			25	25		balance2			50	50		aura-hidden	1517	1517	1	1																																					0
lifebreaker-tier-4	33	0	red-dmg			50	50		red-mag			50	50		trap-limit			1	1	aura-hidden	1518	1518	1	1																																0
worldshaper-tier-4	34	0	spell-damage			50	50								aura-hidden	1519	1519	1	1																																					0
stancedancer-tier-4	35	0	strpercent			30	30		dexpercent			30	30		enepercent			30	30	aura-hidden	1520	1520	1	1																																0
manawarden-tier-4	36	0	oskill	469	469	3	3		skill	469	469	17	17		res-pois-max			10	10	aura-hidden	1521	1521	1	1																																0
berserker-tier-4	37	0	curse-res			100	100		aura-hidden	1522	1522	1	1																																											0
battlemage-tier-5	38	0	all-speeds			50	50																																																	0
awakened-tier-5	39	0	gethit-skill	815	815	10	60																																																	0
blademaster-tier-5	40	0	hit-skill	127	127	15	20																																																	0
nomad-tier-5	41	0	gethit-skill	822	822	20	1																																																	0
ironbolt-tier-5	42	0	hit-skill	426	426	2	40		oskill	433	433	3	3		skill	433	433	22	22																																					0
arcanist-tier-5	43	0	hit-skill	129	129	5	20		hit-skill	130	130	5	20		hit-skill	131	131	5	20																																					0
soul-warden-tier-5	44	0	passive-summ-limit			1	1		red-dmg			50	50		red-mag			50	50																																					0
sharpshooter-tier-5	45	0	hit-skill	373	373	15	20																																																	0
starborn-tier-5	46	0	oskill	479	479	1	1		allskills			1	1																																											0
bloodmage-tier-5	47	0	hp%			50	50		passive-summ-life			25	25																																											0
lifebreaker-tier-5	48	0	oskill	823	823	10	10		red-dmg%			15	15		res-mag			15	15																																					0
worldshaper-tier-5	49	0	hit-skill	824	824	2	1																																																	0
stancedancer-tier-5	50	0	swing2			50	50		cast2			50	50		heal-kill			100	100		mana-kill			50	50																															0
manawarden-tier-5	51	0	gethit-skill	481	481	20	50		light			20	20																																											0
berserker-tier-5	52	0	att-skill	825	825	25	1																																																	0
chipped-amethyst-weap	53	0	gem-master			1	1		att			30	30																																											0
flawed-amethyst-weap	54	0	gem-master			1	1		att			60	60																																											0
amethyst-weap	55	0	gem-master			1	1		att			90	90																																											0
flawless-amethyst-weap	56	0	gem-master			1	1		att			120	120																																											0
blemished-amethyst-weap	57	0	gem-master			1	1		att			150	150																																											0
perfect-amethyst-weap	58	0	gem-master			1	1		att			180	180																																											0
chipped-sapphire-weap	59	0	gem-master			1	1		dmg-cold	20	20	5	10																																											0
flawed-sapphire-weap	60	0	gem-master			1	1		dmg-cold	40	40	10	20																																											0
sapphire-weap	61	0	gem-master			1	1		dmg-cold	60	60	15	30																																											0
flawless-sapphire-weap	62	0	gem-master			1	1		dmg-cold	80	80	25	50																																											0
blemished-sapphire-weap	63	0	gem-master			1	1		dmg-cold	100	100	50	100																																											0
perfect-sapphire-weap	64	0	gem-master			1	1		dmg-cold	120	120	100	200																																											0
chipped-emerald-weap	65	0	gem-master			1	1		dmg-pois	50	50	77	102																																											0
flawed-emerald-weap	66	0	gem-master			1	1		dmg-pois	50	50	102	204																																											0
emerald-weap	67	0	gem-master			1	1		dmg-pois	50	50	204	256																																											0
flawless-emerald-weap	68	0	gem-master			1	1		dmg-pois	50	50	256	512																																											0
blemished-emerald-weap	69	0	gem-master			1	1		dmg-pois	50	50	512	1024																																											0
perfect-emerald-weap	70	0	gem-master			1	1		dmg-pois	50	50	1024	2048																																											0
chipped-ruby-weap	71	0	gem-master			1	1		dmg-fire			10	15																																											0
flawed-ruby-weap	72	0	gem-master			1	1		dmg-fire			15	25																																											0
ruby-weap	73	0	gem-master			1	1		dmg-fire			20	40																																											0
flawless-ruby-weap	74	0	gem-master			1	1		dmg-fire			30	60																																											0
blemished-ruby-weap	75	0	gem-master			1	1		dmg-fire			60	120																																											0
perfect-ruby-weap	76	0	gem-master			1	1		dmg-fire			120	225																																											0
chipped-diamond-weap	77	0	gem-master			1	1		dmg-norm			1	2																																											0
flawed-diamond-weap	78	0	gem-master			1	1		dmg-norm			2	4																																											0
diamond-weap	79	0	gem-master			1	1		dmg-norm			4	8																																											0
flawless-diamond-weap	80	0	gem-master			1	1		dmg-norm			6	12																																											0
blemished-diamond-weap	81	0	gem-master			1	1		dmg-norm			8	15																																											0
perfect-diamond-weap	82	0	gem-master			1	1		dmg-norm			10	20																																											0
chipped-topaz-weap	83	0	gem-master			1	1		dmg-ltng			1	25																																											0
flawed-topaz-weap	84	0	gem-master			1	1		dmg-ltng			1	40																																											0
topaz-weap	85	0	gem-master			1	1		dmg-ltng			1	60																																											0
flawless-topaz-weap	86	0	gem-master			1	1		dmg-ltng			1	100																																											0
blemished-topaz-weap	87	0	gem-master			1	1		dmg-ltng			1	200																																											0
perfect-topaz-weap	88	0	gem-master			1	1		dmg-ltng			1	350																																											0
chipped-skull-weap	89	0	gem-master			1	1		manasteal			1	1																																											0
flawed-skull-weap	90	0	gem-master			1	1		manasteal			2	2																																											0
skull-weap	91	0	gem-master			1	1		manasteal			3	3																																											0
flawless-skull-weap	92	0	gem-master			1	1		manasteal			4	4																																											0
blemished-skull-weap	93	0	gem-master			1	1		manasteal			5	5																																											0
perfect-skull-weap	94	0	gem-master			1	1		manasteal			6	6																																											0
chipped-obsidian-weap	95	0	gem-master			1	1		dmg%			9	9																																											0
flawed-obsidian-weap	96	0	gem-master			1	1		dmg%			18	18																																											0
obsidian-weap	97	0	gem-master			1	1		dmg%			27	27																																											0
flawless-obsidian-weap	98	0	gem-master			1	1		dmg%			36	36																																											0
blemished-obsidian-weap	99	0	gem-master			1	1		dmg%			45	45																																											0
perfect-obsidian-weap	100	0	gem-master			1	1		dmg%			54	54																																											0
chipped-amethyst-helm	101	0	gem-master			1	1		str			5	5																																											0
flawed-amethyst-helm	102	0	gem-master			1	1		str			10	10																																											0
amethyst-helm	103	0	gem-master			1	1		str			15	15																																											0
flawless-amethyst-helm	104	0	gem-master			1	1		str			20	20																																											0
blemished-amethyst-helm	105	0	gem-master			1	1		str			25	25																																											0
perfect-amethyst-helm	106	0	gem-master			1	1		str			30	30																																											0
chipped-sapphire-helm	107	0	gem-master			1	1		mana			10	10																																											0
flawed-sapphire-helm	108	0	gem-master			1	1		mana			20	20																																											0
sapphire-helm	109	0	gem-master			1	1		mana			30	30																																											0
flawless-sapphire-helm	110	0	gem-master			1	1		mana			40	40																																											0
blemished-sapphire-helm	111	0	gem-master			1	1		mana			50	50																																											0
perfect-sapphire-helm	112	0	gem-master			1	1		mana			60	60																																											0
chipped-emerald-helm	113	0	gem-master			1	1		dex			5	5																																											0
flawed-emerald-helm	114	0	gem-master			1	1		dex			10	10																																											0
emerald-helm	115	0	gem-master			1	1		dex			15	15																																											0
flawless-emerald-helm	116	0	gem-master			1	1		dex			20	20																																											0
blemished-emerald-helm	117	0	gem-master			1	1		dex			25	25																																											0
perfect-emerald-helm	118	0	gem-master			1	1		dex			30	30																																											0
chipped-ruby-helm	119	0	gem-master			1	1		hp			10	10																																											0
flawed-ruby-helm	120	0	gem-master			1	1		hp			20	20																																											0
ruby-helm	121	0	gem-master			1	1		hp			30	30																																											0
flawless-ruby-helm	122	0	gem-master			1	1		hp			40	40																																											0
blemished-ruby-helm	123	0	gem-master			1	1		hp			50	50																																											0
perfect-ruby-helm	124	0	gem-master			1	1		hp			60	60																																											0
chipped-diamond-helm	125	0	gem-master			1	1		ac			20	20																																											0
flawed-diamond-helm	126	0	gem-master			1	1		ac			40	40																																											0
diamond-helm	127	0	gem-master			1	1		ac			60	60																																											0
flawless-diamond-helm	128	0	gem-master			1	1		ac			80	80																																											0
blemished-diamond-helm	129	0	gem-master			1	1		ac			100	100																																											0
perfect-diamond-helm	130	0	gem-master			1	1		ac			120	120																																											0
chipped-topaz-helm	131	0	gem-master			1	1		mag%			5	5																																											0
flawed-topaz-helm	132	0	gem-master			1	1		mag%			10	10																																											0
topaz-helm	133	0	gem-master			1	1		mag%			15	15																																											0
flawless-topaz-helm	134	0	gem-master			1	1		mag%			20	20																																											0
blemished-topaz-helm	135	0	gem-master			1	1		mag%			25	25																																											0
perfect-topaz-helm	136	0	gem-master			1	1		mag%			30	30																																											0
chipped-skull-helm	137	0	gem-master			1	1		regen			5	5																																											0
flawed-skull-helm	138	0	gem-master			1	1		regen			10	10																																											0
skull-helm	139	0	gem-master			1	1		regen			20	20																																											0
flawless-skull-helm	140	0	gem-master			1	1		regen			30	30																																											0
blemished-skull-helm	141	0	gem-master			1	1		regen			40	40																																											0
perfect-skull-helm	142	0	gem-master			1	1		regen			50	50																																											0
chipped-obsidian-helm	143	0	gem-master			1	1		swing1			4	4																																											0
flawed-obsidian-helm	144	0	gem-master			1	1		swing1			8	8																																											0
obsidian-helm	145	0	gem-master			1	1		swing1			12	12																																											0
flawless-obsidian-helm	146	0	gem-master			1	1		swing1			16	16																																											0
blemished-obsidian-helm	147	0	gem-master			1	1		swing1			20	20																																											0
perfect-obsidian-helm	148	0	gem-master			1	1		swing1			24	24																																											0
chipped-amethyst-shld	149	0	gem-master			1	1		ac			20	20																																											0
flawed-amethyst-shld	150	0	gem-master			1	1		ac			40	40																																											0
amethyst-shld	151	0	gem-master			1	1		ac			60	60																																											0
flawless-amethyst-shld	152	0	gem-master			1	1		ac			80	80																																											0
blemished-amethyst-shld	153	0	gem-master			1	1		ac			100	100																																											0
perfect-amethyst-shld	154	0	gem-master			1	1		ac			120	120																																											0
chipped-sapphire-shld	155	0	gem-master			1	1		res-cold			10	10																																											0
flawed-sapphire-shld	156	0	gem-master			1	1		res-cold			20	20																																											0
sapphire-shld	157	0	gem-master			1	1		res-cold			30	30																																											0
flawless-sapphire-shld	158	0	gem-master			1	1		res-cold			40	40																																											0
blemished-sapphire-shld	159	0	gem-master			1	1		res-cold			50	50																																											0
perfect-sapphire-shld	160	0	gem-master			1	1		res-cold			60	60																																											0
chipped-emerald-shld	161	0	gem-master			1	1		res-pois			10	10																																											0
flawed-emerald-shld	162	0	gem-master			1	1		res-pois			20	20																																											0
emerald-shld	163	0	gem-master			1	1		res-pois			30	30																																											0
flawless-emerald-shld	164	0	gem-master			1	1		res-pois			40	40																																											0
blemished-emerald-shld	165	0	gem-master			1	1		res-pois			50	50																																											0
perfect-emerald-shld	166	0	gem-master			1	1		res-pois			60	60																																											0
chipped-ruby-shld	167	0	gem-master			1	1		res-fire			10	10																																											0
flawed-ruby-shld	168	0	gem-master			1	1		res-fire			20	20																																											0
ruby-shld	169	0	gem-master			1	1		res-fire			30	30																																											0
flawless-ruby-shld	170	0	gem-master			1	1		res-fire			40	40																																											0
blemished-ruby-shld	171	0	gem-master			1	1		res-fire			50	50																																											0
perfect-ruby-shld	172	0	gem-master			1	1		res-fire			60	60																																											0
chipped-diamond-shld	173	0	gem-master			1	1		res-all			5	5																																											0
flawed-diamond-shld	174	0	gem-master			1	1		res-all			8	8																																											0
diamond-shld	175	0	gem-master			1	1		res-all			11	11																																											0
flawless-diamond-shld	176	0	gem-master			1	1		res-all			14	14																																											0
blemished-diamond-shld	177	0	gem-master			1	1		res-all			17	17																																											0
perfect-diamond-shld	178	0	gem-master			1	1		res-all			20	20																																											0
chipped-topaz-shld	179	0	gem-master			1	1		res-ltng			10	10																																											0
flawed-topaz-shld	180	0	gem-master			1	1		res-ltng			20	20																																											0
topaz-shld	181	0	gem-master			1	1		res-ltng			30	30																																											0
flawless-topaz-shld	182	0	gem-master			1	1		res-ltng			40	40																																											0
blemished-topaz-shld	183	0	gem-master			1	1		res-ltng			50	50																																											0
perfect-topaz-shld	184	0	gem-master			1	1		res-ltng			60	60																																											0
chipped-skull-shld	185	0	gem-master			1	1		red-mag			2	2																																											0
flawed-skull-shld	186	0	gem-master			1	1		red-mag			4	4																																											0
skull-shld	187	0	gem-master			1	1		red-mag			6	6																																											0
flawless-skull-shld	188	0	gem-master			1	1		red-mag			8	8																																											0
blemished-skull-shld	189	0	gem-master			1	1		red-mag			10	10																																											0
perfect-skull-shld	190	0	gem-master			1	1		red-mag			12	12																																											0
chipped-obsidian-shld	191	0	gem-master			1	1		red-dmg			2	2																																											0
flawed-obsidian-shld	192	0	gem-master			1	1		red-dmg			4	4																																											0
obsidian-shld	193	0	gem-master			1	1		red-dmg			6	6																																											0
flawless-obsidian-shld	194	0	gem-master			1	1		red-dmg			8	8																																											0
blemished-obsidian-shld	195	0	gem-master			1	1		red-dmg			10	10																																											0
perfect-obsidian-shld	196	0	gem-master			1	1		red-dmg			12	12																																											0
vorador-mastery	197	2	oskill	374	374	1	1	1	oskill	772	772	1	1	1																																										0
opalvein-ed	198	0	aura	1523	1523	1	1		opalvein-ed-control			1	1		mythicaldesc	1416	1416	1	1																																					0
opalvein-spell	198	0	aura	1524	1524	1	1		opalvein-spell-control			1	1		mythicaldesc	1417	1417	1	1																																					0
opalvein-variant	198	2	opalvein-ed			1	1	1	opalvein-spell			1	1	1																																										0
opalvein-oskill	199	2	oskill	484	486	1	1	1	oskill	568	568	1	1	1	oskill	575	575	1	1	1	oskill	580	580	1	1	1	oskill	592	592	1	1	1																								0
