code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
gold%/lvl	167	1	17	item_find_gold_perlevel																											1	#% Extra Gold from Monsters (Based on Character Level)	#/8 per Level				0
mag%/lvl	168	1	17	item_find_magic_perlevel																											1	#% Better Chance of Getting Magic Items (Based on Character Level)	#/8 per Level				0
regen-stam/lvl	169	1	17	item_regenstamina_perlevel																											1	Heal Stamina Plus #% (Based on Character Level)	#/8 per Level				0
stam/lvl	170	1	17	item_stamina_perlevel																											1	+# Maximum Stamina (Based on Character Level)	#/8 per Level				0
dmg-dem/lvl	171	1	17	item_damage_demon_perlevel																											1	+#% Damage to Demons (Based on Character Level)	#/8 per Level				0
dmg-und/lvl	172	1	17	item_damage_undead_perlevel																											1	+#% Damage to Undead (Based on Character Level)	#/8 per Level				0
att-dem/lvl	173	1	17	item_tohit_demon_perlevel																											1	+# to Attack Rating against Demons (Based on Character Level)	#/2 per Level				0
att-und/lvl	174	1	17	item_tohit_undead_perlevel																											1	+# to Attack Rating against Undead (Based on Character Level)	#/2 per Level				0
crush/lvl	175	1	17	item_crushingblow_perlevel																											1	#% Chance of Crushing Blow (Based on Character Level)	#/8 per Level			Currently Not Used	0
wounds/lvl	176	1	17	item_openwounds_perlevel																											1	#% Chance of Open Wounds (Based on Character Level)	#/8 per Level			Currently Not Used	0
kick/lvl	177	1	17	item_kick_damage_perlevel																											1	+# Kick Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
deadly/lvl	178	1	17	item_deadlystrike_perlevel																											1	#% Deadly Strike (Based on Character Level)	#/8 per Level				0
gems%/lvl	179																																				0
rep-dur	180	1	17	item_replenish_durability																												Repairs 1 durability in # seconds	Repair Speed			Repair 1 Durability every 100/[Repair Speed] seconds	0
rep-quant	181	1	17	item_replenish_quantity																												Replenishes quantity	Repair Speed			Replenish 1 Quantity every 100/[Repair Speed] seconds	0
stack	182	1	1	item_extra_stack																												Increased Stack Size		Min #	Max #		0
item%	183																																				0
dmg-slash	184																																				0
dmg-slash%	185																																				0
dmg-crush	186																																				0
dmg-crush%	187																																				0
dmg-thrust	188																																				0
dmg-thrust%	189																																				0
abs-slash	190																																				0
abs-crush	191																																				0
abs-thrust	192																																				0
abs-slash%	193																																				0
abs-crush%	194																																				0
abs-thrust%	195																																				0
ac/time	196	1	18	item_armor_bytime																												+# Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
ac%/time	197	1	18	item_armorpercent_bytime																												+#% Enhanced Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
hp/time	198	1	18	item_hp_bytime																												+# to Life (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
mana/time	199	1	18	item_mana_bytime																												+# to Mana (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg/time	200	1	18	item_maxdamage_bytime																												+# to Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg%/time	201	1	18	item_maxdamage_percent_bytime																												+#% Enhanced Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
str/time	202	1	18	item_strength_bytime																												+# to Strength (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dex/time	203	1	18	item_dexterity_bytime																												+# to Dexterity (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
enr/time	204	1	18	item_energy_bytime																												+# to Energy (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
vit/time	205	1	18	item_vitality_bytime																												+# to Vitality (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att/time	206	1	18	item_tohit_bytime																												+# to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att%/time	207	1	18	item_tohitpercent_bytime																												#% Bonus to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-cold/time	208	1	18	item_cold_damagemax_bytime																												+# to Maximum Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-fire/time	209	1	18	item_fire_damagemax_bytime																												+# to Maximum Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-ltng/time	210	1	18	item_ltng_damagemax_bytime																												+# to Maximum Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-pois/time	211	1	18	item_pois_damagemax_bytime																												+# to Maximum Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-cold/time	212	1	18	item_resist_cold_bytime																												Cold Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-fire/time	213	1	18	item_resist_fire_bytime																												Fire Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-ltng/time	214	1	18	item_resist_ltng_bytime																												Lightning Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-pois/time	215	1	18	item_resist_pois_bytime																												Poison Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-cold/time	216	1	18	item_absorb_cold_bytime																												Absorbs Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-fire/time	217	1	18	item_absorb_fire_bytime																												Absorbs Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-ltng/time	218	1	18	item_absorb_ltng_bytime																												Absorbs Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-pois/time	219	1	18	item_absorb_pois_bytime																												Absorbs Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
gold%/time	220	1	18	item_find_gold_bytime																												#% Extra Gold from Monsters (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
mag%/time	221	1	18	item_find_magic_bytime																												#% Better Chance of Getting Magic Items (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
regen-stam/time	222	1	18	item_regenstamina_bytime																												Heal Stamina Plus #% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
stam/time	223	1	18	item_stamina_bytime																												+# Maximum Stamina (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-dem/time	224	1	18	item_damage_demon_bytime																												+#% Damage to Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-und/time	225	1	18	item_damage_undead_bytime																												+#% Damage to Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att-dem/time	226	1	18	item_tohit_demon_bytime																												+# to Attack Rating against Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att-und/time	227	1	18	item_tohit_undead_bytime																												+# to Attack Rating against Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
crush/time	228	1	18	item_crushingblow_bytime																												#% Chance of Crushing Blow (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
wounds/time	229	1	18	item_openwounds_bytime																												#% Chance of Open Wounds (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
