ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Hammer	hamm	blun		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	maces	r_mel		
Knife	knif	blde		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	daggs	r_mel		
Spear	spea	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	spear	r_mel		
Polearm	pole	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	poles	r_mel		
Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	xbows	r_mis		
Mace	mace	blun		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3			0							weap	0	maces	r_mel		
Helm	helm	armo		1	1	head	head			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0	helms	r_hel		
Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0	throw			
Quest	ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Body Part	body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Key	key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
Throwing Knife	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	3	40	3	0	3			0							misc	0	throw	r_mel		
Throwing Axe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	4	40	4	0	3			0							misc	0	throw	r_mel		
Javelin	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	4	40	4	0	3			0							misc	0	javel	r_mel		
Weapon	weap			0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0		r_mis	r_mel	
Melee Weapon	mele	weap		0	0					0	0	0	0		1	0	0	1	25	1	40	1	1	3			0								0		r_mel		
Missile Weapon	miss	weap		0	0					0	0	0	0		1	0	0	1	25	1	40	1	0	3			0								0		r_mis		
Thrown Weapon	thro	weap		0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mis		
Combo Weapon	comb	mele	thro	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Any Armor	armo			0	0					0	0	0	0		1	0	0	1	25	1	40	1	1	3			0								0		r_arm		
Any Shield	shld	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_off		
Miscellaneous	misc			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Socket Filler	sock	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Second Hand	seco			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_off		
Staves And Rods	rod	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Missile	misl	misc		0	0					0	0	0	0			0	0	1	25	1	40	1	0	3			0								0		r_mis		
Blunt	blun	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Expansion																																			0				
Jewel	jewl	sock		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			
Class Specific	clas			0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0				
Amazon Item	amaz	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0				
Barbarian Item	barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0				
Necromancer Item	necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0				
Paladin Item	pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0		r_off		
Sorceress Item	sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0				
Assassin Item	assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2		ass	0								0				
Druid Item	drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0				
Warlock Item	warl	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1			0							armo	0				
Hand to Hand	h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2		ass	0							weap	0	assas	r_mel		
Orb	orb	weap	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	sor	sor	0							weap	0	sorce	r_mel		
Voodoo Heads	head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	1	nec	nec	0							armo	0	necro	r_arm		
Auric Shields	ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0	palad	r_off		
Primal Helm	phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	3	25	3	40	4	0	1	bar	bar	0							armo	0	barbh	r_hel		
Pelt	pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	3	25	3	40	4	0	1	dru	dru	0							armo	0	druid	r_hel		
Cloak (old)	cloa	tors		1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0		r_arm		
Rune	rune	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	runes			
Circlet	circ	helm		1	1	head	head			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0	circl	r_hel		
Healing Potion	hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Mana Potion	mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Rejuv Potion	rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Stamina Potion	spot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Antidote Potion	apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Thawing Potion	wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Small Charm	scha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0	charm			
Medium Charm	mcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			3	invch2	invch5	invch8				misc	0	charm			
Large Charm	lcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0	charm			
Amazon Bow	abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	1		ama	0							weap	0	amazo	r_mis		
Amazon Spear	aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0	amazo	r_mel		
Amazon Javelin	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	5	40	6	0	1		ama	0							misc	0	amazo	r_mel		
Hand to Hand 1	h2h1	claw	assn	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2	ass	ass	0							weap	0	assas	r_mel		
Bow Quiver2	arrm	bowq	seco	0	1	rarm	larm		bow	0	1	1	1		1	0	0	1	25	1	40	1	0	3			0							misc	0				
Crossbow Quiver2	boqm	xboq	seco	0	1	rarm	larm		xbow	0	1	1	1		1	0	0	1	25	1	40	1	0	3			0							misc	0				
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Perfect Gem	gem5	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Amethyst	gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Diamond	gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Emerald	geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Ruby	gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Sapphire	gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Topaz	gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Skull	gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Swords and Knives	blde	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Spears and Polearms	sppl	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Grimoire	grim	shld	warl	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	war	war	0							armo	0	warlo			
Colossal Jewel	cjwl	jewl		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			1
Crafted Sunder Charm	csch	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0				
Blemished Gem	gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Obsidian	gemk	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Amazonian Loop	zrin	amaz	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	ama	ama	0							misc	0	amazo			
Sorcerer's Band	srin	sorc	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	sor	sor	0							misc	0	sorce			
Necromancer's Stone	nrin	necr	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	nec	nec	0							misc	0	necro			
Paladic Halo	prin	pala	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	pal	pal	0							misc	0	palad			
Barbaric Knuckle	brin	barb	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	bar	bar	0							misc	0	barbh			
Druid's Seal	drin	drui	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	dru	dru	0							misc	0	druid			
Assassin's Jewel	arin	assn	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	ass	ass	0							misc	0	assas			
Warlock Sigil	wrin	warl	ring	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	war	war	0							misc	0	warlo			
Amazonian Pin	zamu	amaz	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	ama	ama	0							misc	0	amazo			
Sorcerer's Talisman	samu	sorc	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	sor	sor	0							misc	0	sorce			
Death's Locket	namu	necr	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	nec	nec	0							misc	0	necro			
Holy Pendant	pamu	pala	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	pal	pal	0							misc	0	palad			
Primal Charm	bamu	barb	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	bar	bar	0							misc	0	barbh			
Druidic Necklace	damu	drui	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	dru	dru	0							misc	0	druid			
Assassin's Choker	aamu	assn	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	ass	ass	0							misc	0	assas			
Warlock Pendant	wamu	warl	amul	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3	war	war	0							misc	0	warlo			
Sorceress Mana Blade	mana	swor	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	sor	sor	0							weap	0	sorce			
Necromancer Dagger	ndgr	knif	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	nec	nec	0							weap	0	necro			
Necromancer Polearm	npol	pole	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3	nec	nec	0							weap	0	necro			
Paladin Sword	bedg	swor	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal	pal	0							weap	0	palad			
Barbarian Javs	bjav	taxe	barb	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	5	40	6	0	3	bar	bar	0							misc	0	barbh			
Druid Club	dclb	club	drui	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	3	dru	dru	0							weap	0	druid			
Assassin 1H Katana	asns	swor	assn	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2	ass	ass	0							weap	0	assas			
Assassin 2H Katana	asnx	swor	assn	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2	ass	ass	0							weap	0	assas			
Voidblade	wswd	swor	warl	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2	war	war	0							weap	0	warlo			
2H Swing Weapon	2hsw			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Ancient Scroll	scrl			0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Ancient Scroll Low	asc1	scrl		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Ancient Scroll High	asc2	scrl		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Coupon	coup	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Coupon norm	cpn1	coup		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Coupon excep	cpn2	coup		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Coupon elite	cpn3	coup		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Square Charm	qcha	lcha		0	0					0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0	charm			
Odd Charm	ocha	lcha		0	0					0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0	charm			
Extra Charm	xcha	char		0	0					0	0	0	0		1	0	0	3	25	3	40	3	0	3			0							misc	0	charm			
Cube Materials	cube	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Dragon Stones	dstn	cube		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 1	can1	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 2	can2	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 3	can3	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 4	can4	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 5	can5	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 6	can6	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 7	can7	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 8	can8	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Morph Charm	zcha	char		0	0					0	0	0	0			1	1	3	25	3	40	3	0	3			0							misc	0				
Random Stone	rstn	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Chit Weapon nor	chw1	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							weap	0				
Chit Armor nor	cha1	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							armo	0				
Chit Weapon nm	chw2	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							weap	0				
Chit Armor nm	cha2	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							armo	0				
Chit Weapon hell	chw3	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							weap	0				
Chit Armor hell	cha3	cube		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							armo	0				
Claw	claw	h2h	mele	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2			0							weap	0	assas	r_mel		
Knuckle	knuc	h2h	blun	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2			0							weap	0		r_mel		
Hand to Hand 2	h2h2	claw	assn	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	2	ass	ass	0							weap	0	assas	r_mel		
Robe	robe	tors		1	1	tors	tors			0	0	0	0		1	0	0	3	25	5	40	6	0	2	sor		0							armo	0		r_arm		
Spirit Crown	scrn	helm		1	1	head	head			0	0	0	0		1	0	0	3	25	3	40	4	0	2	ama		0							armo	0		r_arm		
Monster Ring 0	mrn0			0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Monster Ring 1	mrn1			0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Monster Ring 2	mrn2			0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Monster Ring 3	mrn3			0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Monster Ring 4	mrn4			0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Viper Amulet	vamu	misc		0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0							misc	0				
Passive Enabler	ycha	char		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0				
Ore	rock			0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Gem Can 1	can9	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Cloak	clok	tors		1	1	tors	tors			0	0	0	0		1	0	0	3	25	5	40	6	0	1	ass		0							armo	0		r_arm		
Magic Eraser	eras	cube		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Gem 6 Pack	gm6p	cube		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Organ 6 Pack	or6p	cube		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Caster Scepter	casce			1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0				
Combat Scepter	cosce			1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0				
Combat Staff	csta			1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	sor		0							weap	0				
1H Swing Weapon	1hsw			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
A5 Hireling Weapons	a5we	axe	blde	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Mythical Map	mmap			0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Ascendancy Stone	astn	scha		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0				
Shuriken	srkn	comb	tkni	1	1	rarm	larm			1	1	1	1		1	0	0	3	25	4	40	4	0	3			0							weap	0				
